"county","Variable","col","Value"
"Kingman","Citizen","U.S. Born",0.986264441591784
"Kiowa","Citizen","U.S. Born",0.945583596214511
"Labette","Citizen","U.S. Born",0.983466362599772
"Lane","Citizen","U.S. Born",0.982078853046595
"Leavenworth","Citizen","U.S. Born",0.946591330359083
"Lincoln","Citizen","U.S. Born",0.981610653138871
"Linn","Citizen","U.S. Born",0.991393786733837
"Logan","Citizen","U.S. Born",0.981023988542785
"Lyon","Citizen","U.S. Born",0.896479588787281
"Marion","Citizen","U.S. Born",0.979739625711961
"Marshall","Citizen","U.S. Born",0.987106446776612
"McPherson","Citizen","U.S. Born",0.978086968412416
"Meade","Citizen","U.S. Born",0.900981063198722
"Miami","Citizen","U.S. Born",0.986294664708762
"Mitchell","Citizen","U.S. Born",0.980622617534943
"Montgomery","Citizen","U.S. Born",0.961443950386146
"Morris","Citizen","U.S. Born",0.970782608695652
"Morton","Citizen","U.S. Born",0.886349001931745
"Nemaha","Citizen","U.S. Born",0.987006595137317
"Neosho","Citizen","U.S. Born",0.980088899713816
"Ness","Citizen","U.S. Born",0.95417614559636
"Norton","Citizen","U.S. Born",0.967262969588551
"Osage","Citizen","U.S. Born",0.988370646766169
"Osborne","Citizen","U.S. Born",0.980169222633527
"Ottawa","Citizen","U.S. Born",0.982804232804233
"Pawnee","Citizen","U.S. Born",0.969758356243669
"Phillips","Citizen","U.S. Born",0.984366478822032
"Pottawatomie","Citizen","U.S. Born",0.963005524861878
"Pratt","Citizen","U.S. Born",0.963240579114899
"Rawlins","Citizen","U.S. Born",0.963457760314342
"Reno","Citizen","U.S. Born",0.967092322582659
"Republic","Citizen","U.S. Born",0.987307532251352
"Rice","Citizen","U.S. Born",0.9542640303575
"Riley","Citizen","U.S. Born",0.904494681560076
"Rooks","Citizen","U.S. Born",0.983031237948322
"Rush","Citizen","U.S. Born",0.988065326633166
